temperatureid,countryid,tempyear,elementid,temperatureincrease
98,4,1997,6078,0.557
99,4,1998,6078,0.557
100,4,1999,6078,0.557
101,4,2000,6078,0.557
102,4,2001,6078,0.557
103,4,2002,6078,0.557
104,4,2003,6078,0.557
105,4,2004,6078,0.557
106,4,2005,6078,0.557
107,4,2006,6078,0.557
108,4,2007,6078,0.557
109,4,2008,6078,0.557
110,4,2009,6078,0.557
111,4,2010,6078,0.557
112,4,2011,6078,0.557
113,4,2012,6078,0.557
114,4,2013,6078,0.557
115,4,2014,6078,0.557
116,4,2015,6078,0.557
117,4,2016,6078,0.557
118,4,2017,6078,0.557
119,4,2018,6078,0.557
120,4,2019,6078,0.557
121,4,2020,6078,0.557
122,4,2021,6078,0.557
123,8,1961,7271,0.627
124,8,1962,7271,0.33
125,8,1963,7271,0.068
126,8,1964,7271,-0.172
127,8,1965,7271,-0.393
128,8,1966,7271,0.553
129,8,1967,7271,-0.08
130,8,1968,7271,0.073
131,8,1969,7271,-0.023
132,8,1970,7271,-0.119
133,8,1971,7271,-0.2
134,8,1972,7271,-0.077
135,8,1973,7271,-0.299
136,8,1974,7271,-0.134
137,8,1975,7271,-0.203
138,8,1976,7271,-0.672
139,8,1977,7271,0.545
140,8,1978,7271,-0.822
141,8,1979,7271,0.225
142,8,1980,7271,-0.404
143,8,1981,7271,-0.313
144,8,1982,7271,0.237
145,8,1983,7271,-0.059
146,8,1984,7271,-0.212
147,8,1985,7271,-0.042
148,8,1986,7271,0.629
149,8,1987,7271,-0.049
150,8,1988,7271,0.43
151,8,1989,7271,-0.005
152,8,1990,7271,0.814
153,8,1991,7271,-0.263
154,8,1992,7271,0.105
155,8,1993,7271,0.117
156,8,1994,7271,1.37
157,8,1995,7271,-0.136
158,8,1996,7271,0.003
159,8,1997,7271,0.113
160,8,1998,7271,0.838
161,8,1999,7271,0.722
162,8,2000,7271,1.112
163,8,2001,7271,1.555
164,8,2002,7271,0.492
165,8,2003,7271,1.023
166,8,2004,7271,0.462
167,8,2005,7271,0.255
168,8,2006,7271,0.426
169,8,2007,7271,1.45
170,8,2008,7271,1.103
171,8,2009,7271,1.009
172,8,2010,7271,1.274
173,8,2011,7271,1.108
174,8,2012,7271,1.568
175,8,2013,7271,1.444
176,8,2014,7271,1.322
177,8,2015,7271,1.665
178,8,2016,7271,1.601
179,8,2017,7271,1.269
180,8,2018,7271,2.146
181,8,2019,7271,1.823
182,8,2020,7271,1.623
183,8,2021,7271,1.682
184,8,1961,6078,0.435
185,8,1962,6078,0.435
186,8,1963,6078,0.435
187,8,1964,6078,0.435
188,8,1965,6078,0.435
189,8,1966,6078,0.435
190,8,1967,6078,0.435
191,8,1968,6078,0.435
192,8,1969,6078,0.435
193,8,1970,6078,0.435
194,8,1971,6078,0.435
195,8,1972,6078,0.435
196,8,1973,6078,0.435
197,8,1974,6078,0.435
198,8,1975,6078,0.435
199,8,1976,6078,0.435
200,8,1977,6078,0.435
201,8,1978,6078,0.435
202,8,1979,6078,0.435
203,8,1980,6078,0.435
204,8,1981,6078,0.435
205,8,1982,6078,0.435
206,8,1983,6078,0.435
207,8,1984,6078,0.435
208,8,1985,6078,0.435
209,8,1986,6078,0.435
210,8,1987,6078,0.435
211,8,1988,6078,0.435
212,8,1989,6078,0.435
213,8,1990,6078,0.435
214,8,1991,6078,0.435
215,8,1992,6078,0.435
216,8,1993,6078,0.435
217,8,1994,6078,0.435
218,8,1995,6078,0.435
219,8,1996,6078,0.435
220,8,1997,6078,0.435
221,8,1998,6078,0.435
222,8,1999,6078,0.435
223,8,2000,6078,0.435
224,8,2001,6078,0.435
225,8,2002,6078,0.435
226,8,2003,6078,0.435
227,8,2004,6078,0.435
228,8,2005,6078,0.435
229,8,2006,6078,0.435
230,8,2007,6078,0.435
231,8,2008,6078,0.435
232,8,2009,6078,0.435
233,8,2010,6078,0.435
234,8,2011,6078,0.435
235,8,2012,6078,0.435
236,8,2013,6078,0.435
237,8,2014,6078,0.435
238,8,2015,6078,0.435
239,8,2016,6078,0.435
240,8,2017,6078,0.435
241,8,2018,6078,0.435
242,8,2019,6078,0.435
243,8,2020,6078,0.435
244,8,2021,6078,0.435
245,12,1961,7271,0.162
246,12,1962,7271,0.131
247,12,1963,7271,0.11
248,12,1964,7271,0.284
249,12,1965,7271,-0.081
250,12,1966,7271,0.436
251,12,1967,7271,0.006
252,12,1968,7271,-0.027
253,12,1969,7271,0.278
254,12,1970,7271,0.114
255,12,1971,7271,-0.38
256,12,1972,7271,-0.342
257,12,1973,7271,-0.028
258,12,1974,7271,-0.502
259,12,1975,7271,-0.554
260,12,1976,7271,-0.817
261,12,1977,7271,0.519
262,12,1978,7271,0.029
263,12,1979,7271,0.661
264,12,1980,7271,0.214
265,12,1981,7271,0.2
266,12,1982,7271,0.388
267,12,1983,7271,0.576
268,12,1984,7271,0.007
269,12,1985,7271,0.513
270,12,1986,7271,0.299
271,12,1987,7271,0.99
272,12,1988,7271,1.346
273,12,1989,7271,0.386
274,12,1990,7271,1.27
275,12,1991,7271,0.034
276,12,1992,7271,-0.318
277,12,1993,7271,0.541
278,12,1994,7271,0.72
279,12,1995,7271,0.583
280,12,1996,7271,0.823
281,12,1997,7271,1.018
282,12,1998,7271,1.077
283,12,1999,7271,1.456
284,12,2000,7271,0.798
285,12,2001,7271,1.827
286,12,2002,7271,1.222
287,12,2003,7271,1.567
288,12,2004,7271,0.964
289,12,2005,7271,1.238
290,12,2006,7271,1.373
291,12,2007,7271,1.198
292,12,2008,7271,1.164
293,12,2009,7271,0.927
294,12,2010,7271,2.249
295,12,2011,7271,1.39
296,12,2012,7271,1.128
297,12,2013,7271,1.173
298,12,2014,7271,1.676
299,12,2015,7271,1.101
300,12,2016,7271,1.736
301,12,2017,7271,1.498
302,12,2018,7271,1.211
303,12,2019,7271,1.094
304,12,2020,7271,1.913
305,12,2021,7271,2.317
306,12,1961,6078,0.387
307,12,1962,6078,0.387
308,12,1963,6078,0.387
309,12,1964,6078,0.387
310,12,1965,6078,0.387
311,12,1966,6078,0.387
312,12,1967,6078,0.387
313,12,1968,6078,0.387
314,12,1969,6078,0.387
315,12,1970,6078,0.387
316,12,1971,6078,0.387
317,12,1972,6078,0.387
318,12,1973,6078,0.387
319,12,1974,6078,0.387
320,12,1975,6078,0.387
321,12,1976,6078,0.387
322,12,1977,6078,0.387
323,12,1978,6078,0.387
324,12,1979,6078,0.387
325,12,1980,6078,0.387
326,12,1981,6078,0.387
327,12,1982,6078,0.387
328,12,1983,6078,0.387
329,12,1984,6078,0.387
330,12,1985,6078,0.387
331,12,1986,6078,0.387
332,12,1987,6078,0.387
333,12,1988,6078,0.387
334,12,1989,6078,0.387
335,12,1990,6078,0.387
336,12,1991,6078,0.387
337,12,1992,6078,0.387
338,12,1993,6078,0.387
339,12,1994,6078,0.387
340,12,1995,6078,0.387
341,12,1996,6078,0.387
342,12,1997,6078,0.387
343,12,1998,6078,0.387
344,12,1999,6078,0.387
345,12,2000,6078,0.387
346,12,2001,6078,0.387
347,12,2002,6078,0.387
348,12,2003,6078,0.387
349,12,2004,6078,0.387
350,12,2005,6078,0.387
351,12,2006,6078,0.387
352,12,2007,6078,0.387
353,12,2008,6078,0.387
354,12,2009,6078,0.387
355,12,2010,6078,0.387
356,12,2011,6078,0.387
357,12,2012,6078,0.387
358,12,2013,6078,0.387
359,12,2014,6078,0.387
360,12,2015,6078,0.387
361,12,2016,6078,0.387
362,12,2017,6078,0.387
363,12,2018,6078,0.387
364,12,2019,6078,0.387
365,12,2020,6078,0.387
366,12,2021,6078,0.387
367,16,1961,7271,0.066
368,16,1962,7271,-0.055
369,16,1963,7271,0.16
370,16,1964,7271,-0.15
371,16,1965,7271,-0.582
372,16,1966,7271,0.166
373,16,1967,7271,-0.364
374,16,1968,7271,-0.174
375,16,1969,7271,0.142
376,16,1970,7271,-0.036
377,16,1971,7271,-0.473
378,16,1972,7271,-0.07
379,16,1973,7271,0.322
380,16,1974,7271,-0.317
381,16,1975,7271,-0.128
382,16,1976,7271,-0.186
383,16,1977,7271,0.149
384,16,1978,7271,0.086
385,16,1979,7271,0.335
386,16,1980,7271,0.335
387,16,1981,7271,0.172
388,16,1982,7271,0.249
389,16,1983,7271,0.288
390,16,1984,7271,0.255
391,16,1985,7271,0.234
392,16,1986,7271,0.371
393,16,1987,7271,0.33
394,16,1988,7271,0.516
395,16,1989,7271,0.163
396,16,1990,7271,0.516
397,16,1991,7271,0.82
398,16,1992,7271,0.674
399,16,1993,7271,0.196
400,16,1994,7271,0.286
401,16,1995,7271,0.798
402,16,1996,7271,0.772
403,16,1997,7271,
404,16,1998,7271,
405,16,1999,7271,0.243
406,16,2000,7271,0.67
407,16,2001,7271,0.948
408,16,2002,7271,1.196
409,16,2003,7271,0.719
410,16,2004,7271,0.215
411,16,2005,7271,0.844
412,16,2006,7271,0.446
413,16,2007,7271,0.894
414,16,2008,7271,0.46
415,16,2009,7271,
416,16,2010,7271,1.047
417,16,2011,7271,0.642
418,16,2012,7271,0.646
419,16,2013,7271,0.883
420,16,2014,7271,0.554
421,16,2015,7271,0.394
422,16,2016,7271,0.924
423,16,2017,7271,0.82
424,16,2018,7271,0.574
425,16,2019,7271,0.924
426,16,2020,7271,0.815
427,16,2021,7271,0.653
428,16,1961,6078,0.244
429,16,1962,6078,0.244
430,16,1963,6078,0.244
431,16,1964,6078,0.244
432,16,1965,6078,0.244
433,16,1966,6078,0.244
434,16,1967,6078,0.244
435,16,1968,6078,0.244
436,16,1969,6078,0.244
437,16,1970,6078,0.244
438,16,1971,6078,0.244
439,16,1972,6078,0.244
440,16,1973,6078,0.244
441,16,1974,6078,0.244
442,16,1975,6078,0.244
443,16,1976,6078,0.244
444,16,1977,6078,0.244
445,16,1978,6078,0.244
446,16,1979,6078,0.244
447,16,1980,6078,0.244
448,16,1981,6078,0.244
449,16,1982,6078,0.244
450,16,1983,6078,0.244
451,16,1984,6078,0.244
452,16,1985,6078,0.244
453,16,1986,6078,0.244
454,16,1987,6078,0.244
455,16,1988,6078,0.244
456,16,1989,6078,0.244
457,16,1990,6078,0.244
458,16,1991,6078,0.244
459,16,1992,6078,0.244
460,16,1993,6078,0.244
461,16,1994,6078,0.244
462,16,1995,6078,0.244
463,16,1996,6078,0.244
464,16,1997,6078,
465,16,1998,6078,
466,16,1999,6078,0.244
467,16,2000,6078,0.244
468,16,2001,6078,0.244
469,16,2002,6078,0.244
470,16,2003,6078,0.244
471,16,2004,6078,0.244
472,16,2005,6078,0.244
473,16,2006,6078,0.244
474,16,2007,6078,0.244
475,16,2008,6078,0.244
476,16,2009,6078,
477,16,2010,6078,0.244
478,16,2011,6078,0.244
479,16,2012,6078,0.244
480,16,2013,6078,0.244
481,16,2014,6078,0.244
482,16,2015,6078,0.244
483,16,2016,6078,0.244
484,16,2017,6078,0.244
485,16,2018,6078,0.244
486,16,2019,6078,0.244
487,16,2020,6078,0.244
488,16,2021,6078,0.244
489,20,1961,7271,0.744
490,20,1962,7271,0.102
491,20,1963,7271,-0.762
492,20,1964,7271,0.3
493,20,1965,7271,-0.492
494,20,1966,7271,0.407
495,20,1967,7271,0.621
496,20,1968,7271,-0.013
497,20,1969,7271,-0.176
498,20,1970,7271,0.081
499,20,1971,7271,-0.355
500,20,1972,7271,-0.526
501,20,1973,7271,-0.01
502,20,1974,7271,-0.412
503,20,1975,7271,0.207
504,20,1976,7271,-0.081
505,20,1977,7271,-0.111
506,20,1978,7271,-0.174
507,20,1979,7271,0.046
508,20,1980,7271,-0.199
509,20,1981,7271,0.167
510,20,1982,7271,1.048
511,20,1983,7271,0.856
512,20,1984,7271,-0.159
513,20,1985,7271,0.058
514,20,1986,7271,0.392
515,20,1987,7271,0.353
516,20,1988,7271,0.856
517,20,1989,7271,1.152
518,20,1990,7271,1.724
519,20,1991,7271,0.215
520,20,1992,7271,0.368
521,20,1993,7271,0.175
522,20,1994,7271,1.502
523,20,1995,7271,1.245
524,20,1996,7271,0.535
525,20,1997,7271,1.736
526,20,1998,7271,0.98
527,20,1999,7271,1.02
528,20,2000,7271,1.015
529,20,2001,7271,1.476
530,20,2002,7271,0.828
531,20,2003,7271,1.946
532,20,2004,7271,0.919
533,20,2005,7271,0.835
534,20,2006,7271,1.463
535,20,2007,7271,0.974
536,20,2008,7271,0.891
537,20,2009,7271,1.358
538,20,2010,7271,0.411
539,20,2011,7271,1.617
540,20,2012,7271,1.196
541,20,2013,7271,0.757
542,20,2014,7271,1.857
543,20,2015,7271,1.546
544,20,2016,7271,1.83
545,20,2017,7271,1.771
546,20,2018,7271,1.761
547,20,2019,7271,1.813
548,20,2020,7271,2.401
549,20,2021,7271,1.367
550,20,1961,6078,0.418
551,20,1962,6078,0.418
552,20,1963,6078,0.418
553,20,1964,6078,0.418
554,20,1965,6078,0.418
555,20,1966,6078,0.418
556,20,1967,6078,0.418
557,20,1968,6078,0.418
558,20,1969,6078,0.418
559,20,1970,6078,0.418
560,20,1971,6078,0.418
561,20,1972,6078,0.418
562,20,1973,6078,0.418
563,20,1974,6078,0.418
564,20,1975,6078,0.418
565,20,1976,6078,0.418
566,20,1977,6078,0.418
567,20,1978,6078,0.418
568,20,1979,6078,0.418
569,20,1980,6078,0.418
570,20,1981,6078,0.418
571,20,1982,6078,0.418
572,20,1983,6078,0.418
573,20,1984,6078,0.418
574,20,1985,6078,0.418
575,20,1986,6078,0.418
576,20,1987,6078,0.418
577,20,1988,6078,0.418
578,20,1989,6078,0.418
579,20,1990,6078,0.418
580,20,1991,6078,0.418
581,20,1992,6078,0.418
582,20,1993,6078,0.418
583,20,1994,6078,0.418
584,20,1995,6078,0.418
585,20,1996,6078,0.418
586,20,1997,6078,0.418
587,20,1998,6078,0.418
588,20,1999,6078,0.418
589,20,2000,6078,0.418
590,20,2001,6078,0.418
591,20,2002,6078,0.418
592,20,2003,6078,0.418
593,20,2004,6078,0.418
594,20,2005,6078,0.418
595,20,2006,6078,0.418
596,20,2007,6078,0.418
597,20,2008,6078,0.418
598,20,2009,6078,0.418
599,20,2010,6078,0.418
600,20,2011,6078,0.418
601,20,2012,6078,0.418
602,20,2013,6078,0.418
603,20,2014,6078,0.418
604,20,2015,6078,0.418
605,20,2016,6078,0.418
606,20,2017,6078,0.418
607,20,2018,6078,0.418
608,20,2019,6078,0.418
609,20,2020,6078,0.418
610,20,2021,6078,0.418
611,24,1961,7271,0.051
612,24,1962,7271,-0.145
613,24,1963,7271,-0.186
614,24,1964,7271,-0.228
615,24,1965,7271,-0.207
616,24,1966,7271,0.162
617,24,1967,7271,-0.088
618,24,1968,7271,-0.194
619,24,1969,7271,0.191
620,24,1970,7271,0.249
621,24,1971,7271,-0.092
622,24,1972,7271,-0.029
623,24,1973,7271,0.477
624,24,1974,7271,-0.152
625,24,1975,7271,-0.018
626,24,1976,7271,-0.309
627,24,1977,7271,0.255
628,24,1978,7271,0.04
629,24,1979,7271,0.302
630,24,1980,7271,0.29
631,24,1981,7271,0.019
632,24,1982,7271,0.235
633,24,1983,7271,0.597
634,24,1984,7271,0.722
635,24,1985,7271,0.724
636,24,1986,7271,0.199
637,24,1987,7271,0.808
638,24,1988,7271,0.677
639,24,1989,7271,0.097
640,24,1990,7271,0.808
641,24,1991,7271,0.44
642,24,1992,7271,0.606
643,24,1993,7271,0.401
644,24,1994,7271,0.373
645,24,1995,7271,0.88
646,24,1996,7271,0.511
647,24,1997,7271,0.361
648,24,1998,7271,1.264
649,24,1999,7271,0.591
650,24,2000,7271,0.316
651,24,2001,7271,0.425
652,24,2002,7271,0.868
653,24,2003,7271,1.058
654,24,2004,7271,0.558
655,24,2005,7271,1.21
656,24,2006,7271,0.636
657,24,2007,7271,0.955
658,24,2008,7271,0.601
659,24,2009,7271,0.744
660,24,2010,7271,1.303
661,24,2011,7271,0.923
662,24,2012,7271,0.576
663,24,2013,7271,1.09
664,24,2014,7271,0.879
665,24,2015,7271,1.43
666,24,2016,7271,1.847
667,24,2017,7271,1.064
668,24,2018,7271,1.504
669,24,2019,7271,1.975
670,24,2020,7271,1.387
671,24,2021,7271,1.631
672,24,1961,6078,0.205
673,24,1962,6078,0.205
674,24,1963,6078,0.205
675,24,1964,6078,0.205
676,24,1965,6078,0.205
677,24,1966,6078,0.205
678,24,1967,6078,0.205
679,24,1968,6078,0.205
680,24,1969,6078,0.205
681,24,1970,6078,0.205
682,24,1971,6078,0.205
683,24,1972,6078,0.205
684,24,1973,6078,0.205
685,24,1974,6078,0.205
686,24,1975,6078,0.205
687,24,1976,6078,0.205
688,24,1977,6078,0.205
689,24,1978,6078,0.205
690,24,1979,6078,0.205
691,24,1980,6078,0.205
692,24,1981,6078,0.205
693,24,1982,6078,0.205
694,24,1983,6078,0.205
695,24,1984,6078,0.205
696,24,1985,6078,0.205
697,24,1986,6078,0.205
698,24,1987,6078,0.205
699,24,1988,6078,0.205
700,24,1989,6078,0.205
701,24,1990,6078,0.205
702,24,1991,6078,0.205
703,24,1992,6078,0.205
704,24,1993,6078,0.205
705,24,1994,6078,0.205
706,24,1995,6078,0.205
707,24,1996,6078,0.205
708,24,1997,6078,0.205
709,24,1998,6078,0.205
710,24,1999,6078,0.205
711,24,2000,6078,0.205
712,24,2001,6078,0.205
713,24,2002,6078,0.205
714,24,2003,6078,0.205
715,24,2004,6078,0.205
716,24,2005,6078,0.205
717,24,2006,6078,0.205
718,24,2007,6078,0.205
719,24,2008,6078,0.205
720,24,2009,6078,0.205
721,24,2010,6078,0.205
722,24,2011,6078,0.205
723,24,2012,6078,0.205
724,24,2013,6078,0.205
725,24,2014,6078,0.205
726,24,2015,6078,0.205
727,24,2016,6078,0.205
728,24,2017,6078,0.205
729,24,2018,6078,0.205
730,24,2019,6078,0.205
731,24,2020,6078,0.205
732,24,2021,6078,0.205
733,660,1961,7271,0.104
734,660,1962,7271,-0.091
735,660,1963,7271,0.153
736,660,1964,7271,0.128
737,660,1965,7271,-0.364
738,660,1966,7271,-0.006
739,660,1967,7271,-0.259
740,660,1968,7271,-0.186
741,660,1969,7271,0.332
742,660,1970,7271,0.084
743,660,1971,7271,-0.222
744,660,1972,7271,-0.137
745,660,1973,7271,0.194
746,660,1974,7271,-0.327
747,660,1975,7271,-0.31
748,660,1976,7271,-0.407
749,660,1977,7271,0.131
750,660,1978,7271,0.158
751,660,1979,7271,0.019
752,660,1980,7271,0.714
753,660,1981,7271,0.556
754,660,1982,7271,0.128
755,660,1983,7271,0.505
756,660,1984,7271,0.075
757,660,1985,7271,-0.04
758,660,1986,7271,-0.003
759,660,1987,7271,0.539
760,660,1988,7271,0.402
761,660,1989,7271,-0.1
762,660,1990,7271,0.344
763,660,1991,7271,0.394
764,660,1992,7271,0.36
765,660,1993,7271,0.477
766,660,1994,7271,0.513
767,660,1995,7271,0.661
768,660,1996,7271,0.392
769,660,1997,7271,0.54
770,660,1998,7271,1.126
771,660,1999,7271,0.598
772,660,2000,7271,0.276
773,660,2001,7271,0.611
774,660,2002,7271,0.776
775,660,2003,7271,0.918
776,660,2004,7271,0.549
777,660,2005,7271,0.826
778,660,2006,7271,0.6
779,660,2007,7271,0.876
780,660,2008,7271,0.344
781,660,2009,7271,0.577
782,660,2010,7271,1.107
783,660,2011,7271,0.507
784,660,2012,7271,0.652
785,660,2013,7271,0.778
786,660,2014,7271,0.821
787,660,2015,7271,1.07
788,660,2016,7271,1.164
789,660,2017,7271,0.98
790,660,2018,7271,0.728
791,660,2019,7271,0.861
792,660,2020,7271,1.246
793,660,2021,7271,0.91
794,660,1961,6078,0.253
795,660,1962,6078,0.253
796,660,1963,6078,0.253
797,660,1964,6078,0.253
798,660,1965,6078,0.253
799,660,1966,6078,0.253
800,660,1967,6078,0.253
801,660,1968,6078,0.253
802,660,1969,6078,0.253
803,660,1970,6078,0.253
804,660,1971,6078,0.253
805,660,1972,6078,0.253
806,660,1973,6078,0.253
807,660,1974,6078,0.253
808,660,1975,6078,0.253
809,660,1976,6078,0.253
810,660,1977,6078,0.253
811,660,1978,6078,0.253
812,660,1979,6078,0.253
813,660,1980,6078,0.253
814,660,1981,6078,0.253
815,660,1982,6078,0.253
816,660,1983,6078,0.253
817,660,1984,6078,0.253
818,660,1985,6078,0.253
819,660,1986,6078,0.253
820,660,1987,6078,0.253
821,660,1988,6078,0.253
822,660,1989,6078,0.253
823,660,1990,6078,0.253
824,660,1991,6078,0.253
825,660,1992,6078,0.253
826,660,1993,6078,0.253
827,660,1994,6078,0.253
828,660,1995,6078,0.253
829,660,1996,6078,0.253
830,660,1997,6078,0.253
831,660,1998,6078,0.253
832,660,1999,6078,0.253
833,660,2000,6078,0.253
834,660,2001,6078,0.253
835,660,2002,6078,0.253
836,660,2003,6078,0.253
837,660,2004,6078,0.253
838,660,2005,6078,0.253
839,660,2006,6078,0.253
840,660,2007,6078,0.253
841,660,2008,6078,0.253
842,660,2009,6078,0.253
843,660,2010,6078,0.253
844,660,2011,6078,0.253
845,660,2012,6078,0.253
846,660,2013,6078,0.253
847,660,2014,6078,0.253
848,660,2015,6078,0.253
849,660,2016,6078,0.253
850,660,2017,6078,0.253
851,660,2018,6078,0.253
852,660,2019,6078,0.253
853,660,2020,6078,0.253
854,660,2021,6078,0.253
855,10,1961,7271,0.279
856,10,1962,7271,-0.227
857,10,1963,7271,0.135
858,10,1964,7271,-0.366
859,10,1965,7271,-0.098
860,10,1966,7271,-0.24
861,10,1967,7271,0.133
862,10,1968,7271,-0.081
863,10,1969,7271,-0.256
864,10,1970,7271,-0.133
865,10,1971,7271,0.28
866,10,1972,7271,0.62
867,10,1973,7271,0.011
868,10,1974,7271,0.168
869,10,1975,7271,0.177
870,10,1976,7271,-0.635
871,10,1977,7271,0.249
872,10,1978,7271,-0.118
873,10,1979,7271,-0.235
874,10,1980,7271,0.564
875,10,1981,7271,0.705
876,10,1982,7271,-0.032
877,10,1983,7271,-0.693
878,10,1984,7271,0.129
879,10,1985,7271,0.177
880,10,1986,7271,-0.271
881,10,1987,7271,-0.701
882,10,1988,7271,0.953
883,10,1989,7271,-0.439
884,10,1990,7271,0.287
885,10,1991,7271,0.675
886,10,1992,7271,0.333
887,10,1993,7271,-0.718
888,10,1994,7271,-0.056
889,10,1995,7271,-0.225
890,10,1996,7271,0.81
891,10,1997,7271,-0.516
892,10,1998,7271,-0.414
893,10,1999,7271,-0.558
894,10,2000,7271,-0.78
895,10,2001,7271,-0.074
896,10,2002,7271,1.281
897,10,2003,7271,-0.458
898,10,2004,7271,0.148
899,10,2005,7271,0.855
900,10,2006,7271,-0.036
901,10,2007,7271,0.71
902,10,2008,7271,0.575
903,10,2009,7271,1.316
904,10,2010,7271,0.84
905,10,2011,7271,0.749
906,10,2012,7271,-0.202
907,10,2013,7271,1.738
908,10,2014,7271,0.556
909,10,2015,7271,-0.023
910,10,2016,7271,0.238
911,10,2017,7271,0.78
912,10,2018,7271,1.451
913,10,2019,7271,0.658
914,10,2020,7271,0.798
915,10,2021,7271,-0.593
916,10,1961,6078,0.473
917,10,1962,6078,0.473
918,10,1963,6078,0.473
919,10,1964,6078,0.473
920,10,1965,6078,0.473
921,10,1966,6078,0.473
922,10,1967,6078,0.473
923,10,1968,6078,0.473
924,10,1969,6078,0.473
925,10,1970,6078,0.473
926,10,1971,6078,0.473
927,10,1972,6078,0.473
928,10,1973,6078,0.473
929,10,1974,6078,0.473
930,10,1975,6078,0.473
931,10,1976,6078,0.473
932,10,1977,6078,0.473
933,10,1978,6078,0.473
934,10,1979,6078,0.473
935,10,1980,6078,0.473
936,10,1981,6078,0.473
937,10,1982,6078,0.473
938,10,1983,6078,0.473
939,10,1984,6078,0.473
940,10,1985,6078,0.473
941,10,1986,6078,0.473
942,10,1987,6078,0.473
943,10,1988,6078,0.473
944,10,1989,6078,0.473
945,10,1990,6078,0.473
946,10,1991,6078,0.473
947,10,1992,6078,0.473
948,10,1993,6078,0.473
949,10,1994,6078,0.473
950,10,1995,6078,0.473
951,10,1996,6078,0.473
952,10,1997,6078,0.473
953,10,1998,6078,0.473
954,10,1999,6078,0.473
955,10,2000,6078,0.473
956,10,2001,6078,0.473
957,10,2002,6078,0.473
958,10,2003,6078,0.473
959,10,2004,6078,0.473
960,10,2005,6078,0.473
961,10,2006,6078,0.473
962,10,2007,6078,0.473
963,10,2008,6078,0.473
964,10,2009,6078,0.473
965,10,2010,6078,0.473
966,10,2011,6078,0.473
967,10,2012,6078,0.473
968,10,2013,6078,0.473
969,10,2014,6078,0.473
970,10,2015,6078,0.473
971,10,2016,6078,0.473
972,10,2017,6078,0.473
973,10,2018,6078,0.473
974,10,2019,6078,0.473
975,10,2020,6078,0.473
976,10,2021,6078,0.473
977,28,1961,7271,0.112
978,28,1962,7271,-0.084
979,28,1963,7271,0.185
980,28,1964,7271,0.109
981,28,1965,7271,-0.415
982,28,1966,7271,0.07
983,28,1967,7271,-0.222
984,28,1968,7271,-0.205
985,28,1969,7271,0.29
986,28,1970,7271,0.08
987,28,1971,7271,-0.211
988,28,1972,7271,-0.174
